Real,Calculado,ARI
1,0,0.4967584024740447
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,0,
1,0,
1,2,
1,0,
1,2,
1,2,
1,0,
1,0,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,0,
1,2,
1,2,
1,2,
1,0,
1,2,
1,2,
1,0,
1,0,
1,0,
1,2,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,2,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,2,
1,2,
1,2,
1,2,
1,0,
1,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
2,0,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
3,4,
