Real,Calculado,Centroides,ARI
1,3,"(12.9134, 12.1981)",0.38374096538634284
1,3,"(-3.8948, 5.0439)",
1,3,"(8.6448, -2.9729)",
1,1,"(10.5368, 9.5718)",
1,3,"(13.6858, 10.6673)",
1,3,"(-6.5382, 16.9615)",
1,3,"(30.1683, -2.8282)",
1,3,"(-12.7568, 10.0774)",
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,3,,
1,1,,
1,3,,
